EPU_IDENTIFIER, EPU_INFO, #EPU_NETWORK_NOTIFICATION, EPU_MEAN_NOTIFICATION_LATENCY, EPU_OUTPUTQ_CAPACITY, EPU_PROCESSING_TIME, #EVENTS_PROCESSED, #EVENTS_PRODUCED, #INPUTQ_DEFAULTS
Thread-1@victoire-15332, filterA, 15182, 1.2889606, 1000, 239, 20791, 15183, 0/0
Thread-1@victoire-15332, filterA, 19772, 0.7578899, 1000, 130, 29368, 19772, 0/0
Thread-1@victoire-15332, filterA, 21057, 0.69606304, 1000, 129, 30683, 21057, 0/0
Thread-1@victoire-15332, filterA, 20483, 0.7550652, 1000, 114, 29531, 20483, 0/0
Thread-1@victoire-15332, filterA, 20714, 0.7702037, 1000, 90, 29207, 20714, 0/0
Thread-1@victoire-15332, filterA, 22195, 0.70605993, 1000, 86, 30542, 22195, 0/0
Thread-1@victoire-15332, filterA, 17840, 1.021861, 1000, 109, 24523, 17840, 0/0
Thread-1@victoire-15332, filterA, 15774, 1.2328515, 1000, 111, 21397, 15774, 0/0
Thread-1@victoire-15332, filterA, 16735, 1.1625336, 1000, 104, 22294, 16735, 0/0
Thread-1@victoire-15332, filterA, 17285, 1.1332948, 1000, 126, 22886, 17285, 0/0
Thread-1@victoire-15332, filterA, 19074, 1.047237, 1000, 130, 24353, 19074, 0/0
Thread-1@victoire-15332, filterA, 18613, 1.0965991, 1000, 118, 23742, 18613, 0/0
Thread-1@victoire-15332, filterA, 20443, 0.946681, 1000, 118, 26218, 20443, 0/0
Thread-1@victoire-15332, filterA, 18487, 1.1005571, 1000, 152, 23541, 18487, 0/0
Thread-1@victoire-15332, filterA, 18579, 1.0782065, 1000, 149, 23881, 18579, 0/0
Thread-1@victoire-15332, filterA, 21840, 0.84070516, 1000, 104, 27994, 21840, 0/1
Thread-1@victoire-15332, filterA, 22857, 0.8059675, 1000, 123, 28932, 22857, 0/0
Thread-1@victoire-15332, filterA, 22767, 0.8105152, 1000, 126, 28412, 22767, 0/0
Thread-1@victoire-15332, filterA, 23349, 0.808086, 1000, 119, 28729, 23349, 0/0
Thread-1@victoire-15332, filterA, 23195, 0.8262557, 1000, 120, 28282, 23195, 0/0
Thread-1@victoire-15332, filterA, 23172, 0.8423097, 1000, 137, 28032, 23172, 0/0
Thread-1@victoire-15332, filterA, 23205, 0.8583064, 1000, 107, 27877, 23205, 0/0
Thread-1@victoire-15332, filterA, 23558, 0.8333475, 1000, 137, 28313, 23558, 0/0
Thread-1@victoire-15332, filterA, 23210, 0.8643257, 1000, 150, 27724, 23210, 0/0
Thread-1@victoire-15332, filterA, 22795, 0.8304453, 1000, 131, 27488, 22795, 0/0
Thread-1@victoire-15332, filterA, 23294, 0.934232, 1000, 127, 27456, 23294, 0/0
Thread-1@victoire-15332, filterA, 23211, 0.97807074, 1000, 122, 27269, 23211, 0/0
Thread-1@victoire-15332, filterA, 20833, 2.00096, 1000, 134, 24585, 20833, 593/261
Thread-1@victoire-15332, filterA, 16337, 3.1297057, 1000, 77, 19099, 16337, 6701/937
Thread-1@victoire-15332, filterA, 14341, 3.9647863, 1000, 91, 16841, 14341, 15837/700
Thread-1@victoire-15332, filterA, 1826, 3.8400877, 1000, 8, 2176, 1826, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
Thread-1@victoire-15332, filterA, 0, 0.0, 1000, 0, 0, 0, 17034/0
